SourceRefId;SourceID;RefId
0525305253;05253;05253
0525405254;05254;05254
0525505255;05255;05255
0525605256;05256;05256
0525705257;05257;05257
0525805258;05258;05258
0525905259;05259;05259
0526305263;05263;05263
0526805268;05268;05268
0527205272;05272;05272
0527305273;05273;05273
0527505275;05275;05275
0527705277;05277;05277
0527805278;05278;05278
0528405284;05284;05284
0528805288;05288;05288
0600106001;06001;06001
0600206002;06002;06002
0600306003;06003;06003
0600406004;06004;06004
9000600050;90006;00050
9000600164;90006;00164
9000600222;90006;00222
9000605180;90006;05180
9001000100;90010;00100
9001005165;90010;05165
9001100100;90011;00100
9001105179;90011;05179
9001300109;90013;00109
9001300124;90013;00124
9001400109;90014;00109
9001400126;90014;00126
9001500109;90015;00109
9001500134;90015;00134
9001600109;90016;00109
9001600146;90016;00146
9001700109;90017;00109
9001700222;90017;00222
9001800109;90018;00109
9001800262;90018;00262
9001900109;90019;00109
9001905141;90019;05141
9002000109;90020;00109
9002005174;90020;05174
9002100109;90021;00109
9002105178;90021;05178
9002200109;90022;00109
9002205218;90022;05218
9002400111;90024;00111
9002400403;90024;00403
9002600112;90026;00112
9002600407;90026;00407
9002900114;90029;00114
9002905148;90029;05148
9003300118;90033;00118
9003305179;90033;05179
9003500119;90035;00119
9003505174;90035;05174
9003800123;90038;00123
9003900123;90039;00123
9003900222;90039;00222
9004000123;90040;00123
9004000222;90040;00222
9004005158;90040;05158
9004100123;90041;00123
9004100222;90041;00222
9004105185;90041;05185
9004300124;90043;00124
9004305163;90043;05163
9004400124;90044;00124
9004405174;90044;05174
9004500124;90045;00124
9004505179;90045;05179
9004800126;90048;00126
9004805158;90048;05158
9004900126;90049;00126
9004905180;90049;05180
9005200128;90052;00128
9005205178;90052;05178
9005700135;90057;00135
9005705179;90057;05179
9006000137;90060;00137
9006000222;90060;00222
9006005180;90060;05180
9006100137;90061;00137
9006100348;90061;00348
9006200137;90062;00137
9006200403;90062;00403
9006300137;90063;00137
9006300403;90063;00403
9006305199;90063;05199
9006400137;90064;00137
9006405163;90064;05163
9006500137;90065;00137
9006505178;90065;05178
9006600137;90066;00137
9006605179;90066;05179
9006700137;90067;00137
9006705199;90067;05199
9006900138;90069;00138
9006900221;90069;00221
9006905181;90069;05181
9007000138;90070;00138
9007000222;90070;00222
9007005180;90070;05180
9007200139;90072;00139
9007205158;90072;05158
9007400140;90074;00140
9007400348;90074;00348
9007600141;90076;00141
9007605185;90076;05185
9008200149;90082;00149
9008200259;90082;00259
9008200260;90082;00260
9008600152;90086;00152
9008600348;90086;00348
9008700152;90087;00152
9008700348;90087;00348
9008705184;90087;05184
9008800152;90088;00152
9008800403;90088;00403
9008900152;90089;00152
9008900403;90089;00403
9008905199;90089;05199
9009000152;90090;00152
9009005141;90090;05141
9009100152;90091;00152
9009105163;90091;05163
9009200152;90092;00152
9009205174;90092;05174
9009300152;90093;00152
9009305178;90093;05178
9009400152;90094;00152
9009405179;90094;05179
9009500152;90095;00152
9009505180;90095;05180
9009600152;90096;00152
9009605199;90096;05199
9009800153;90098;00153
9009805163;90098;05163
9009900153;90099;00153
9009905165;90099;05165
9010300156;90103;00156
9010305158;90103;05158
9010500157;90105;00157
9010500222;90105;00222
9010600157;90106;00157
9010605158;90106;05158
9010800158;90108;00158
9010805158;90108;05158
9010805174;90108;05174
9010900158;90109;00158
9010905174;90109;05174
9011200160;90112;00160
9011200407;90112;00407
9011300160;90113;00160
9011300407;90113;00407
9011305174;90113;05174
9011400160;90114;00160
9011405158;90114;05158
9011405174;90114;05174
9011500160;90115;00160
9011505165;90115;05165
9011600160;90116;00160
9011605165;90116;05165
9011605174;90116;05174
9011700160;90117;00160
9011705174;90117;05174
9011900161;90119;00161
9011900348;90119;00348
9011905158;90119;05158
9011905184;90119;05184
9012000161;90120;00161
9012000348;90120;00348
9012005184;90120;05184
9012100161;90121;00161
9012105158;90121;05158
9012200161;90122;00161
9012205174;90122;05174
9012300161;90123;00161
9012305184;90123;05184
9012500162;90125;00162
9012500403;90125;00403
9012505182;90125;05182
9012600162;90126;00162
9012600403;90126;00403
9012605182;90126;05182
9012605199;90126;05199
9012700162;90127;00162
9012705148;90127;05148
9012705165;90127;05165
9012800162;90128;00162
9012805165;90128;05165
9012900162;90129;00162
9012905199;90129;05199
9013100163;90131;00163
9013100221;90131;00221
9013105181;90131;05181
9013200163;90132;00163
9013205179;90132;05179
9013300163;90133;00163
9013305181;90133;05181
9013500164;90135;00164
9013500222;90135;00222
9013600164;90136;00164
9013600222;90136;00222
9013605172;90136;05172
9013700164;90137;00164
9013700222;90137;00222
9013705180;90137;05180
9013800164;90138;00164
9013805158;90138;05158
9013805180;90138;05180
9013900164;90139;00164
9013905180;90139;05180
9014100165;90141;00165
9014100348;90141;00348
9014105184;90141;05184
9014200165;90142;00165
9014205143;90142;05143
9014300165;90143;00165
9014305174;90143;05174
9014400165;90144;00165
9014405199;90144;05199
9014600166;90146;00166
9014600403;90146;00403
9014605182;90146;05182
9014700166;90147;00166
9014705141;90147;05141
9014800166;90148;00166
9014805165;90148;05165
9014900166;90149;00166
9014905165;90149;05165
9014905178;90149;05178
9015000166;90150;00166
9015005174;90150;05174
9015100166;90151;00166
9015105199;90151;05199
9015300167;90153;00167
9015300403;90153;00403
9015400167;90154;00167
9015400403;90154;00403
9015405148;90154;05148
9015500167;90155;00167
9015505141;90155;05141
9015600167;90156;00167
9015605141;90156;05141
9015605165;90156;05165
9015700167;90157;00167
9015705148;90157;05148
9015705165;90157;05165
9015800167;90158;00167
9015805165;90158;05165
9016000168;90160;00168
9016005179;90160;05179
9016200170;90162;00170
9016200221;90162;00221
9016205181;90162;05181
9016300170;90163;00170
9016300222;90163;00222
9016305180;90163;05180
9016600173;90166;00173
